IPO Date,Symbol,Company Name,IPO Price,Current,Return,Related People,Description,Country,Industry,Sector,People
"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,$10.00,$9.50,-5.00%,"Tom-Einar Rysst Jensen (Co-Founder and Executive Chairman), Balaz Peter Matrai (Co-Founder and Director), Oscar K. Brown (Group Chief Financial Officer), Jeremy T. Bezdek (Executive Vice President of Corporate Development), Birger K. Steen MBA (Chief Executive Officer and Director), Lori A. Papp (Chief Accounting Officer), Dr. Andreas Bentzen (Chief Technology Officer), Jeffrey David Spittel (Vice President of Investor Relations), Are L. Brautaset (Chief Legal Officer), Amy Jaick (Head of Global Commuication)","FREYR Battery, Inc. provides battery solutions in the United States, Norway, and internationally.",Luxembourg,Electrical Equipment & Parts,Industrials,"{'Tom-Einar Rysst Jensen': 'Co-Founder and Executive Chairman', 'Balaz Peter Matrai': 'Co-Founder and Director', 'Oscar K. Brown': 'Group Chief Financial Officer', 'Jeremy T. Bezdek': 'Executive Vice President of Corporate Development', 'Birger K. Steen MBA': 'Chief Executive Officer and Director', 'Lori A. Papp': 'Chief Accounting Officer', 'Dr. Andreas Bentzen': 'Chief Technology Officer', 'Jeffrey David Spittel': 'Vice President of Investor Relations', 'Are L. Brautaset': 'Chief Legal Officer', 'Amy Jaick': 'Head of Global Commuication'}"
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",$19.00,$15.44,-18.74%,"John P. Albright (President, Chief Executive Officer and Director), Lisa M. Vorakoun (Vice President, Controller, Interim Chief Financial Officer and Treasurer), Steven Robert Greathouse (Senior Vice President and Chief Investment Officer), Daniel E. Smith Esq. (Senior Vice President, General Counsel and Corporate Secretary)","Alpine Income Property Trust, Inc. (the ""Company"" or ""PINE"") is a real estate investment trust (""REIT"") that owns and operates a high-quality portfolio of commercial net lease properties.",United States,REIT - Retail,Real Estate,"{'John P. Albright': 'President, Chief Executive Officer and Director', 'Lisa M. Vorakoun': 'Vice President, Controller, Interim Chief Financial Officer and Treasurer', 'Steven Robert Greathouse': 'Senior Vice President and Chief Investment Officer', 'Daniel E. Smith Esq.': 'Senior Vice President, General Counsel and Corporate Secretary'}"
"Nov 21, 2019",SITM,SiTime Corporation,$13.00,$120.13,824.08%,"Rajesh Vashist (Chairman, President and Chief Executive Officer), Dr. Fariborz Assaderaghi Ph.D. (Executive Vice President of Technology and Engineering), Piyush B. Sevalia (Executive Vice President of Marketing), Lionel Bonnot (Executive Vice President of Worldwide Sales and Business Development), Dr. Aaron Partridge (Co-Founder), Markus Lutz (Co-Founder), Elizabeth A. Howe (Executive Vice President and Chief Financial Officer), Atul P. Shingal (Executive Vice President of Operations), Samsheer Ahmad (Senior Vice President of Finance and Chief Accounting Officer), Vincent P. Pangrazio J.D. (Executive Vice President, Chief Legal Officer and Corporate Secretary)","SiTime Corporation designs, develops, and sells silicon timing systems solutions in Taiwan, Hong Kong, the United States, Singapore, and internationally.",United States,Semiconductors,Technology,"{'Rajesh Vashist': 'Chairman, President and Chief Executive Officer', 'Dr. Fariborz Assaderaghi Ph.D.': 'Executive Vice President of Technology and Engineering', 'Piyush B. Sevalia': 'Executive Vice President of Marketing', 'Lionel Bonnot': 'Executive Vice President of Worldwide Sales and Business Development', 'Dr. Aaron Partridge': 'Co-Founder', 'Markus Lutz': 'Co-Founder', 'Elizabeth A. Howe': 'Executive Vice President and Chief Financial Officer', 'Atul P. Shingal': 'Executive Vice President of Operations', 'Samsheer Ahmad': 'Senior Vice President of Finance and Chief Accounting Officer', 'Vincent P. Pangrazio J.D.': 'Executive Vice President, Chief Legal Officer and Corporate Secretary'}"
"Nov 21, 2019",CAN,Canaan Inc.,$9.00,$1.14,-87.33%,"Nangeng Zhang (Chairman and Chief Executive Officer), James Jin Cheng (Chief Financial Officer), Clark S. Soucy (Investor Relations Director), Lu Meng (Secretary of the Board), Zhang Xi (Investor Relations Manager)","Canaan Inc. engages in the research, design, and sale of integrated circuits (IC), and lease of final mining equipment by integrating IC products for bitcoin mining and related components in the People's Republic of China.",China,Computer Hardware,Technology,"{'Nangeng Zhang': 'Chairman and Chief Executive Officer', 'James Jin Cheng': 'Chief Financial Officer', 'Clark S. Soucy': 'Investor Relations Director', 'Lu Meng': 'Secretary of the Board', 'Zhang Xi': 'Investor Relations Manager'}"
"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,$10.00,$15.12,51.20%,"Ronald A. Martell (President, Chief Executive Officer and Director), Dr. Judith Anne Shizuru M.D., Ph.D. (Co-Founder, Chair of Scientific Advisory Board and Director), Jeetinder Singh Mahal M.B.A. (Chief Operating Officer), Herbert C. Cross (Chief Financial Officer and Corporate Secretary), Dr. Luca Di Noto Ph.D. (Senior Vice President of Technical Operations), David Ku M.D. (Vice President of Corporate Development, Portfolio Strategy and Management), Matthew Ford (Vice President of Human Resources), Dr. Wendy Pang M.D., Ph.D. (Senior Vice President of Research and Translational Medicine), Dr. Edwin Jonathan Tucker M.D. (Chief Medical Officer), Patricia Carlos (Senior Vice President of Regulatory Affairs and Quality)","Jasper Therapeutics, Inc., a clinical-stage biotechnology company, develops therapeutic agents for hematopoietic stem cell transplantation and gene therapies.",United States,Biotechnology,Healthcare,"{'Ronald A. Martell': 'President, Chief Executive Officer and Director', 'Dr. Judith Anne Shizuru M.D., Ph.D.': 'Co-Founder, Chair of Scientific Advisory Board and Director', 'Jeetinder Singh Mahal M.B.A.': 'Chief Operating Officer', 'Herbert C. Cross': 'Chief Financial Officer and Corporate Secretary', 'Dr. Luca Di Noto Ph.D.': 'Senior Vice President of Technical Operations', 'David Ku M.D.': 'Vice President of Corporate Development, Portfolio Strategy and Management', 'Matthew Ford': 'Vice President of Human Resources', 'Dr. Wendy Pang M.D., Ph.D.': 'Senior Vice President of Research and Translational Medicine', 'Dr. Edwin Jonathan Tucker M.D.': 'Chief Medical Officer', 'Patricia Carlos': 'Senior Vice President of Regulatory Affairs and Quality'}"
"Nov 13, 2019",YAYO,"EVmo, Inc.",$4.00,$0.00,-100.00%,"Terren S. Peizer (Executive Chairman of Directors), Stephen M. Sanchez (Chief Executive Officer and Director), Ryan Saathoff (Chief Financial Officer), Boyd Bishop (Consultant)","EVmo, Inc., through its subsidiaries, engages in the ridesharing and vehicle rental businesses in the United States.",Canada,Rental & Leasing Services,Industrials,"{'Terren S. Peizer': 'Executive Chairman of Directors', 'Stephen M. Sanchez': 'Chief Executive Officer and Director', 'Ryan Saathoff': 'Chief Financial Officer', 'Boyd Bishop': 'Consultant'}"
"Nov 11, 2019",ETNB,"89bio, Inc.",$16.00,$8.40,-47.50%,"Rohan Palekar (Chief Executive Officer and Director), Quoc Le-Nguyen (Chief Technical Operations Officer and Head of Quality), Dr. Harry Mansbach M.D. (Chief Medical Officer), Ryan Stephen Martins (Chief Financial Officer), Shiva K. Natarajan CPA (Senior Vice President of Finance and Principal Accounting Officer), Annie J. Chang M.B.A. (Vice President of Investor Relations and Corporate Communications), Amanda Kurihara (Vice President of People and Culture), Yun Bai Ph.D. (Vice President and Head of Chemistry, Manufacturing and Controls ( CMC )), Melissa Abel (Senior Vice President of Commercial Strategy), Paul Shin (Senior Vice President of Research &amp; Development Operations)","89bio, Inc., a clinical-stage biopharmaceutical company, focuses on the development and commercialization of therapies for the treatment of liver and cardio-metabolic diseases.",United States,Biotechnology,Healthcare,"{'Rohan Palekar': 'Chief Executive Officer and Director', 'Quoc Le-Nguyen': 'Chief Technical Operations Officer and Head of Quality', 'Dr. Harry Mansbach M.D.': 'Chief Medical Officer', 'Ryan Stephen Martins': 'Chief Financial Officer', 'Shiva K. Natarajan CPA': 'Senior Vice President of Finance and Principal Accounting Officer', 'Annie J. Chang M.B.A.': 'Vice President of Investor Relations and Corporate Communications', 'Amanda Kurihara': 'Vice President of People and Culture', 'Yun Bai Ph.D.': 'Vice President and Head of Chemistry, Manufacturing and Controls ( CMC )', 'Melissa Abel': 'Senior Vice President of Commercial Strategy', 'Paul Shin': 'Senior Vice President of Research &amp; Development Operations'}"
"Nov 8, 2019",TELA,"TELA Bio, Inc.",$13.00,$5.08,-60.92%,"Antony Koblish (Co-founder, President, Chief Executive Officer and Director), Roberto E. Cuca J.D. (Chief Financial Officer and Chief Operating Officer), Paul Talmo (Chief Technology Officer), Megan Smeykal (Vice President, Corporate Controller, Chief Accounting Officer and Principal Accounting Officer), D. Taylor Ocasio (General Counsel and Corporate Secretary), Jennifer Lou Armstrong (Senior Vice President of Human Resources), Gregory A. Firestone (Chief Business Officer), Michael Leonard (Senior Vice President of Technical Operations), Peter C. Murphy (Chief Commercial Officer), Louisa Smith (Investor Relations Contact Officer)","TELA Bio, Inc., a commercial-stage medical technology company, focuses on providing soft-tissue reconstruction solutions that optimize clinical outcomes by prioritizing the preservation and restoration of the patient's anatomy.",United States,Medical Devices,Healthcare,"{'Antony Koblish': 'Co-founder, President, Chief Executive Officer and Director', 'Roberto E. Cuca J.D.': 'Chief Financial Officer and Chief Operating Officer', 'Paul Talmo': 'Chief Technology Officer', 'Megan Smeykal': 'Vice President, Corporate Controller, Chief Accounting Officer and Principal Accounting Officer', 'D. Taylor Ocasio': 'General Counsel and Corporate Secretary', 'Jennifer Lou Armstrong': 'Senior Vice President of Human Resources', 'Gregory A. Firestone': 'Chief Business Officer', 'Michael Leonard': 'Senior Vice President of Technical Operations', 'Peter C. Murphy': 'Chief Commercial Officer', 'Louisa Smith': 'Investor Relations Contact Officer'}"
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,$14.50,$0.37,-97.45%,"Dagang Feng (Co-Chairman and Chief Executive Officer), Chengcheng Liu (Founder and Co-Chairman), Lin Wei (Chief Financial Officer and Director), Yang Li (Chief Content Officer and Director)",36Kr Holdings Inc. provides content and business services in the People's Republic of China.,China,Internet Content & Information,Communication Services,"{'Dagang Feng': 'Co-Chairman and Chief Executive Officer', 'Chengcheng Liu': 'Founder and Co-Chairman', 'Lin Wei': 'Chief Financial Officer and Director', 'Yang Li': 'Chief Content Officer and Director'}"
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",$4.00,$2.42,-39.50%,"John Michael Climaco Esq., J.D. (Chief Executive Officer, President and Director), Christopher S. Downs C.P.A., CTP, FP&A (Chief Financial Officer), Dr. Sandra L. Silberman M.D., Ph.D. (Chief Medical Officer), Dr. Waldemar Priebe Ph.D. (Founder), Dr. Donald H. Picker Ph.D. (Chief Science Officer)","CNS Pharmaceuticals, Inc., a clinical pharmaceutical company, engages in the development of anti-cancer drug candidates for the treatment of brain and central nervous system tumors.",United States,Biotechnology,Healthcare,"{'John Michael Climaco Esq., J.D.': 'Chief Executive Officer, President and Director', 'Christopher S. Downs C.P.A., CTP, FP&A': 'Chief Financial Officer', 'Dr. Sandra L. Silberman M.D., Ph.D.': 'Chief Medical Officer', 'Dr. Waldemar Priebe Ph.D.': 'Founder', 'Dr. Donald H. Picker Ph.D.': 'Chief Science Officer'}"
"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,$10.00,$10.97,9.70%,"John Charles Rood (Chairman, President and Chief Executive Officer), Paul Ney (Chief Legal Officer and Corporate Secretary), Lon Ensler (Interim Chief Financial Officer), Rob Schwarz (Chief Technology Officer and Interim Head of Engineering and Operations), Eric R. Williams (Principal Accounting Officer), Darryl J. John Genovesi (Vice President of Investor Relations), Chris Kinman (Chief Commercial Officer)",Momentus Inc. operates as a commercial space company.,United States,Aerospace & Defense,Industrials,"{'John Charles Rood': 'Chairman, President and Chief Executive Officer', 'Paul Ney': 'Chief Legal Officer and Corporate Secretary', 'Lon Ensler': 'Interim Chief Financial Officer', 'Rob Schwarz': 'Chief Technology Officer and Interim Head of Engineering and Operations', 'Eric R. Williams': 'Principal Accounting Officer', 'Darryl J. John Genovesi': 'Vice President of Investor Relations', 'Chris Kinman': 'Chief Commercial Officer'}"
"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",$10.00,$13.19,31.90%,"Ramey Pierce Jackson (Chief Executive Officer and Director), Vic Nettie (Vice President of Operations), Morgan Hodges (Executive Vice President), Anselm Wong (Executive Vice President and Chief Financial Officer), David Vanevenhoven (Chief Accounting Officer), Philip Stevens (Chief Information Officer), John Rohlwing (Vice President of Investor Relations and FP&A), Elliot Kahler (General Counsel), Rebecca Castillo (Vice President of Human Resources), Peter J. Frayser (Chief Commercial Officer)","Janus International Group, Inc. manufacturers and supplies turn-key self-storage, and commercial and industrial building solutions in North America and internationally.",United States,Building Products & Equipment,Industrials,"{'Ramey Pierce Jackson': 'Chief Executive Officer and Director', 'Vic Nettie': 'Vice President of Operations', 'Morgan Hodges': 'Executive Vice President', 'Anselm Wong': 'Executive Vice President and Chief Financial Officer', 'David Vanevenhoven': 'Chief Accounting Officer', 'Philip Stevens': 'Chief Information Officer', 'John Rohlwing': 'Vice President of Investor Relations and FP&A', 'Elliot Kahler': 'General Counsel', 'Rebecca Castillo': 'Vice President of Human Resources', 'Peter J. Frayser': 'Chief Commercial Officer'}"
"Nov 7, 2019",SICP,Silvergate Capital Corp,$12.00,$0.50,-95.83%,"Kathleen M. Fraher (Principal Executive Officer, Chief Transition Officer and Chief Risk Officer), Andrew Surry (Principal Financial Officer), Hunter Stenback (Head of Investor Relations), Son-Jai Paik (Chief Human Resources Officer), Elaine Batlis (Executive Vice President and Manager of Warehouse Lending Division), Alaric Eby (Chief Product Development Officer), Judith M. Knowles (Secretary)",Silvergate Capital Corporation operates as a bank holding company for Silvergate Bank that provides banking products and services to business and individual clients in the United States.,United States,Banks - Regional,Financials,"{'Kathleen M. Fraher': 'Principal Executive Officer, Chief Transition Officer and Chief Risk Officer', 'Andrew Surry': 'Principal Financial Officer', 'Hunter Stenback': 'Head of Investor Relations', 'Son-Jai Paik': 'Chief Human Resources Officer', 'Elaine Batlis': 'Executive Vice President and Manager of Warehouse Lending Division', 'Alaric Eby': 'Chief Product Development Officer', 'Judith M. Knowles': 'Secretary'}"
"Nov 7, 2019",CNTG,Centogene N.V.,$14.00,$0.41,-97.11%,"Kim Stratton (Chief Executive Officer and Member of Management Board), Jose Miguel Coego Rios (Chief Financial Officer, Legal and IT and Member of Management Board), Dr. Peter Bauer M.D. (Chief Medical and Genomic Officer and Member of Management Board), Dr. Andrin Oswald M.D., Ph.D. (Advisor), Ian Rentsch (Chief Commercial Officer and GM of Pharma)","Centogene N.V., together with its subsidiaries, provides pharmaceutical solutions and diagnostic tests in Europe, the Middle East, North America, Latin America, and the Asia Pacific.",Germany,Diagnostics & Research,Healthcare,"{'Kim Stratton': 'Chief Executive Officer and Member of Management Board', 'Jose Miguel Coego Rios': 'Chief Financial Officer, Legal and IT and Member of Management Board', 'Dr. Peter Bauer M.D.': 'Chief Medical and Genomic Officer and Member of Management Board', 'Dr. Andrin Oswald M.D., Ph.D.': 'Advisor', 'Ian Rentsch': 'Chief Commercial Officer and GM of Pharma'}"
"Nov 7, 2019",GRTX,"Galera Therapeutics, Inc.",$12.00,$0.08,-99.31%,"Dr. J. Mel Sorensen M.D. (Chief Executive Officer, President and Director), Dr. Robert A. Beardsley M.B.A., Ph.D. (Co-Founder and Chief Operating Officer), Christopher Degnan (Chief Financial Officer), Jennifer Evans Stacey Esq. (Chief Legal and Compliance Officer and Secretary), Andie Collier (Chief Regulatory and Quality Affairs Officer), Judy Schnyder (Senior Vice President of Clinical Operations and Data Management)","Galera Therapeutics, Inc., a biopharmaceutical company, focuses on the development and commercialization of therapeutics for the transformation of radiotherapy in cancer.",Panama,Biotechnology,Healthcare,"{'Dr. J. Mel Sorensen M.D.': 'Chief Executive Officer, President and Director', 'Dr. Robert A. Beardsley M.B.A., Ph.D.': 'Co-Founder and Chief Operating Officer', 'Christopher Degnan': 'Chief Financial Officer', 'Jennifer Evans Stacey Esq.': 'Chief Legal and Compliance Officer and Secretary', 'Andie Collier': 'Chief Regulatory and Quality Affairs Officer', 'Judy Schnyder': 'Senior Vice President of Clinical Operations and Data Management'}"
"Nov 7, 2019",DFNS,LGL Systems Acquisition,$10.00,$13.84,38.40%,"General Keith B. Alexander ret. (Founder and Non Executive Chairman of the Board), Cameron Pforr (President), Linda K. Zecher Higgins (Chief Executive Officer and Director), John O'Hara (Senior Vice President of Corporate Development and Partnerships), Fernando Maymi (Chief Information Security Officer)","IronNet, Inc. designs and develops solutions for cyber-attacks.",VA,Software - Infrastructure,Technology,"{'General Keith B. Alexander ret.': 'Founder and Non Executive Chairman of the Board', 'Cameron Pforr': 'President', 'Linda K. Zecher Higgins': 'Chief Executive Officer and Director', ""John O'Hara"": 'Senior Vice President of Corporate Development and Partnerships', 'Fernando Maymi': 'Chief Information Security Officer'}"
"Nov 5, 2019",MCMJ,Merida Merger Corp. I,$10.00,$6.53,-34.70%,"Yoko Miyashita (President, Chief Executive Officer and Director), Suresh Krishnaswamy (Chief Financial Officer), Nicole C. Sanchez (General Counsel and Secretary), Deidre Boulware (Chief People Officer), Carlos Pinto (Chief Commercial Officer)","Leafly Holdings, Inc. owns and operates a platform to provide consumers with cannabis information and connects consumers to cannabis brands and licensed retailers.",United States,Pharmaceutical Retailers,Healthcare,"{'Yoko Miyashita': 'President, Chief Executive Officer and Director', 'Suresh Krishnaswamy': 'Chief Financial Officer', 'Nicole C. Sanchez': 'General Counsel and Secretary', 'Deidre Boulware': 'Chief People Officer', 'Carlos Pinto': 'Chief Commercial Officer'}"
