Title,Link,Image,Source,Date,Article content
"Gauzy's IPO is important step for the smart glass company, says CEO Eyal Peso",https://www.cnbc.com/video/2024/06/06/gauzys-ipo-is-important-step-for-the-smart-glass-company-says-ceo-eyal-peso.html,https://image.cnbcfm.com/api/v1/image/107425328-17176969561717696953-34844335566-1080pnbcnews.jpg?v=1717696955&w=410&h=212&vtcrop=y,3 weeks ago - CNBC News,2024-06-06,Video content - No article body
"Shein in discussions about London IPO, UK minister says",https://www.cnbc.com/video/2024/05/20/shein-in-discussions-about-london-ipo-uk-minister-says.html,https://image.cnbcfm.com/api/v1/image/107417038-17161941601716194158-34606345745-1080pnbcnews.jpg?v=1716194160&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-20,Video content - No article body
Fat Brands confidentially files to IPO its Twin Peaks and Smokey Bones chains,https://www.cnbc.com/2024/05/14/fat-brands-twin-peaks-smokey-bones-confidentially-file-for-ipo.html,https://image.cnbcfm.com/api/v1/image/107414663-1715697566182-gettyimages-1316042376-smokeybones-money_ia_8084024_20100205.jpeg?v=1715697619&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-14,"In this article
Fat Brands said Tuesday it has confidentially filed to take its Twin Peaks and Smokey Bones restaurant chains public through an initial public offering, less than a week after federal authorities charged the restaurant company and its chair Andy Wiederhorn for an alleged $47 million bogus loan scheme.
Fat Brands announced its intention to spin off Twin Peaks through an IPO last year. At that time, the company had already disclosed a U.S. Securities and Exchange Commission investigation into Wiederhorn.
On Thursday, Fat Brands, Wiederhorn and a few other people were criminally indicted by a federal grand jury in Los Angeles for wire fraud, tax evasion and other counts related to the alleged scheme. In a separate civil complaint filed on Friday, the SEC accused the company and Wiederhorn of violations related to the same conduct.
Both Fat Brands and Wiederhorn, through an attorney, have denied the charges.
Since its founding in 2005, Twin Peaks has grown to nearly 115 restaurant locations in the U.S. and Mexico. Fat Brands bought the company in 2021. The sports bar chain is known for its female staff's revealing uniforms, similar to Hooters.
Smokey Bones is a newer addition to Fat Brands' portfolio, which currently includes 18 chains. Olive Garden owner Darden Restaurants created the barbecue chain in 1999 but later sold the brand. Fat Brands acquired it in September 2023, with the goal of converting more than half its 61 corporate-owned restaurants into Twin Peaks locations.
""Our priority is to use the proceeds from any transaction to deleverage the balance sheet,"" Wiederhorn said about the potential IPO on the company's first-quarter conference call on May 1.
Wiederhorn owns 45% of Fat Brands' common shares through Fog Cutter Holdings, according to FactSet.
Shares of the company have fallen 9% this year, dragging its market value down to about $90 million.



"
Games Global files to withdraw U.S. IPO plans,https://www.cnbc.com/video/2024/05/13/games-global-files-to-withdraw-u-s-ipo-plans.html,https://image.cnbcfm.com/api/v1/image/107414259-17156320991715632096-34512850761-1080pnbcnews.jpg?v=1715632098&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-13,Video content - No article body
HD Hyundai Marine Solution doubles in South Korea's largest IPO since January 2022 ,https://www.cnbc.com/2024/05/08/hd-hyundai-marine-solution-ipo.html,https://image.cnbcfm.com/api/v1/image/107411887-1715136855157-gettyimages-2151427741-SKOREA_HYUNDAI_MARINE_SOLUTION.jpeg?v=1715136879&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-08,"Shares of maintenance and repair firm HD Hyundai Marine Solution nearly doubled in their trading debut Wednesday, marking a strong start to South Korea's largest IPO since January 2022.
Shares traded as high as 166,100 South Korean won ($121.59) apiece, representing a 99.1% surge from the IPO price of 83,400 won. The stock closed at 163,900 won, representing a gain of 96.52%. 
The ship-repair unit of South Korea's largest shipping conglomerate HD Hyundai Group sold 8.9 million shares in the initial public offering. The IPO totaled 742.26 billion won, valuing the newly public unit around 3.71 trillion won at the offering price.
Half — or 4.45 million—of the IPO shares are newly issued.
The company's IPO showed strong investor interest, with both the institutional and retail offering oversubscribed by over 200 times combined.
The Wall Street Journal, citing HD Hyundai officials, reported that the parent conglomerate, which held a 62% stake in its unit ahead of the IPO, will continue to be in control.
Meanwhile, KKR, the second-largest shareholder since 2021, plans to gradually reduce its stake, which currently stands at 38%."
Viking shares rise 8% after cruise line operator's market debut,https://www.cnbc.com/2024/05/01/viking-ipo-vik-cruise-line-company-trading-on-nyse.html,https://image.cnbcfm.com/api/v1/image/107409108-17145964132024-05-01t203558z_73565243_rc2vh7aqxfrj_rtrmadp_0_usa-stocks-viking.jpeg?v=1714596793&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-01,"In this article
Viking is not your typical cruise operator.
Aboard its smaller, upscale vessels, you won't find any kids. In fact, the cruise line doesn't hide the fact that it is going after the high-income baby boomer.
Casinos? Not on these cruise ships.
In Viking Holdings' prospectus, the company said its cruises are for the ""thinking person,"" underscoring its efforts to appeal to the baby boomer traveler who seeks adventure and new experiences.
""They have the money, they have the time and, in my belief, the moment you try to do everything for everybody, you know what happens? You do nothing well. So we are very, very clear focused,"" Torstein Hagen, CEO and chairman of Viking, told CNBC.
The luxury cruise line was targeting a $10.4 billion valuation in its initial public offering on the New York Stock Exchange on Wednesday, making it the third-largest cruise operator after Royal Caribbean and Carnival. Norwegian Cruise Line is the fourth largest. Viking started trading Wednesday at $26.15 a share under the ticker ""VIK"" after pricing at $24 a share.
It closed its first trading day with a gain of more than 8%, ending at $26.10 per share.
Viking upsized its IPO after existing shareholders decided to sell an additional 9 million shares amid strong demand from mutual fund investors, according to a source familiar with the situation.
In 1997, Viking had four ships. It has quickly grown its fleet to 92 vessels, 80 of which are river-based ships that travel down the world's biggest rivers, including the Seine in France and the Nile in Egypt.
""We're different because when you talk about the big cruise lines, they're large in the Caribbean,"" Hagen said. ""We have a tiny sliver in the Caribbean. The rest is Europe.""
The timing of Viking's IPO coincides with a strong rebound in cruise bookings. On April 25, Royal Caribbean raised its guidance for 2024 amid a bright outlook for the sector.
""Cruising has really come into the forefront as a competitive choice in travel,"" Jason Liberty, CEO of Royal Caribbean, said to CNBC in a recent interview. ""The overall travel industry is $1.9 trillion. The cruise industry is $56 billion of that. I think cruising is at a much different level than it was pre-pandemic.""
While the company's prospectus showed Viking brought in $4.71 billion in sales in 2023, it did report a net loss for the year. What is getting investors excited is the company's revenue per passenger of $7,251, which is much higher than that of any other publicly traded cruise line. Viking's premium price point allows it to make more money on each customer.
Investors will also be looking for details on Viking's expansion plans. Earlier this month, Norwegian Cruise Line said it ordered eight new ships scheduled for delivery over the next 12 years.
Carnival, Royal Caribbean and MSC Cruises all have robust portfolios, which has raised concerns of overcapacity weighing on demand. But for now, the industry is focused on how well demand has rebounded from the pandemic and that, even with higher prices, cruising is still cheaper on average than hotel vacations.
UBS leisure analyst Robin Farley said land-based hotel rates are 25% higher than in 2019. During that same time frame, cruise line rates are up 10%.
""The gap between cruising and hotels is wide. That makes cruise compelling right now,"" Farley said.



"
Viking CEO: We are very different from big cruise lines,https://www.cnbc.com/video/2024/05/01/short-viking-ceo-on-ipo-very-different-from-other-cruise-companies.html,https://image.cnbcfm.com/api/v1/image/107408800-17145751011714575098-34347580084-1080pnbcnews.jpg?v=1714575100&w=410&h=212&vtcrop=y,1 month ago - CNBC News,2024-05-01,Video content - No article body
Rubrik stock pops 16% in NYSE debut after company prices IPO above range,https://www.cnbc.com/2024/04/25/rubrik-ipo-rbrk-starts-trading-on-new-york-stock-exchange.html,https://image.cnbcfm.com/api/v1/image/107406459-17140664872024-04-25t170109z_885663634_rc2pd7a0mchq_rtrmadp_0_rubrik-ipo.jpeg?v=1714066599&w=410&h=212&vtcrop=y,2 months ago - CNBC News,2024-04-26,"In this article
Shares of data management software maker Rubrik jumped in its New York Stock Exchange debut Thursday, the latest sign that public market investors are showing an appetite for tech IPOs. The stock opened at $38.60 per share, after the Microsoft-backed company priced its IPO at $32 a share on Wednesday, above its expected range of $28 to $31 per share.
Rubrik ended trading Thursday up 16% at $37.
In selling 23.5 million shares, it raised $752 million, leaving it with a valuation of $5.6 billion. Rubrik shares are trading under the ticker ""RBRK.""
Many technology companies appeared on public markets in the 2010s as central banks kept interest rates low. Worries about a weakening economy starting in late 2021 led investors to become less interested in unprofitable companies. Since then, few young technology companies have been willing to try going public. But that could be changing. Reddit and Astera Labs, which sells data center connectivity chips, went public in March.
Rubrik, founded a decade ago, reported a $354 million net loss in the latest fiscal year, compared with a $278 million loss in the year prior. The company now generates 91% of its revenue from subscriptions, up from 59% two years ago. 
Microsoft invested in the company in 2021. Rubrik's co-founder and CEO, Bipul Sinha, has 8% control. Lightspeed Venture Partners, where Sinha was previously a startup investor, has 25% of the voting power.
Sinha said Rubrik isn't able to control market conditions but was able to prepare itself to go public.
""When we see the market is receptive and we were ready, we go,"" he said in an interview.
A company will decide on the timing for its IPO six to eight weeks ahead, relying partly on input from bankers, said Ravi Mhatre, managing director at Lightspeed Venture Partners, which was the sole investor in Rubrik's first round of venture capital.
Input from investors was also critical.
""Bipul spent a lot of time with public market investors both in 2023 and then in 2024,"" said Mhatre, whose firm invested some $362 million in Rubrik.
From those conversations, Sinha has gotten a sense of what investors would be interested in.
""Folks are looking for strong companies to go public, companies that have the potential to be a durable business, a moat in the marketplace, has something to unique to offer in the marketplace and clearly winning in the marketplace,"" Sinha said. ""Staying public is the key, not going public."""
Shares of bubble tea firm Chabaidao plunge nearly 40% in Hong Kong debut,https://www.cnbc.com/2024/04/23/chabaidao-share-price-plunges-as-much-as-40percent-in-hong-kong-ipo.html,https://image.cnbcfm.com/api/v1/image/107404854-1713840395649-gettyimages-1007652080-dscf8774.jpeg?v=1713840451&w=410&h=212&vtcrop=y,2 months ago - CNBC News,2024-04-23,"Shares of Chinese bubble tea chain Chabaidao tumbled almost 40% on its trading debut on the Hong Kong stock exchange.
The stock, officially listed as Sichuan Baicha Baidao Industrial, fell as low as 10.84 Hong Kong dollars in the late morning — about 38% below its IPO price of HK$17.50. The stock ended the day at HK$12.80, 26.8% lower than the IPO price.
The bubble tea firm's IPO was the largest listing in Hong Kong in 2024 so far, with the company garnering net proceeds of HK$2.59 billion from its IPO, before listing expenses, according to its prospectus filed to the Hong Kong exchange.
The company said it ranked third in China's freshly made tea shop market in terms of retail sales value in 2023, with a market share of 6.8%
Chabaidao offered 90% of its 147.7 million shares in a global offering, while the remainder 10% were offered in a public offer in Hong Kong.
However, the public offer was only 0.5 times subscribed, leading the firm to reallocate the remainder of the shares to the global offer, which was 1.11 times subscribed.
In the prospectus, Chabaidao revealed that revenue for the financial year ended 2023 stood at 5.7 billion yuan ($786.8 million) and gross profit came in at 1.96 billion yuan in the same period.
From 2021 to 2023, the compounded annual growth rate for its net profit reached 21.6%, it added."
"AI will dominate both IPOs and established companies, says JC2 Ventures CEO John Chambers",https://www.cnbc.com/video/2024/04/18/ai-will-dominate-both-ipos-and-established-companies-says-jc2-ventures-ceo-john-chambers.html,https://image.cnbcfm.com/api/v1/image/107403533-17134755451713475542-34177036332-1080pnbcnews.jpg?v=1713475545&w=410&h=212&vtcrop=y,2 months ago - CNBC News,2024-04-18,Video content - No article body
